id,key,value,type
26798727,created_by,JOSM,regular
26798729,created_by,JOSM,regular
26798730,created_by,JOSM,regular
26798734,created_by,JOSM,regular
26798735,created_by,JOSM,regular
26798736,created_by,JOSM,regular
26798738,created_by,JOSM,regular
26798739,created_by,JOSM,regular
26798740,created_by,JOSM,regular
26798741,created_by,JOSM,regular
26798742,created_by,JOSM,regular
26798743,created_by,JOSM,regular
26798744,created_by,JOSM,regular
26798745,created_by,JOSM,regular
26798746,created_by,JOSM,regular
26798747,created_by,JOSM,regular
26798748,created_by,JOSM,regular
26798749,created_by,JOSM,regular
26798750,created_by,JOSM,regular
26798754,exit_to,Central Truckee,regular
26798754,highway,motorway_junction,regular
26798754,ref,186,regular
26798764,created_by,Merkaartor 0.12,regular
26798767,created_by,Merkaartor 0.12,regular
26818457,created_by,JOSM,regular
26818459,created_by,JOSM,regular
26818460,created_by,JOSM,regular
26818461,created_by,JOSM,regular
26818463,created_by,JOSM,regular
26818464,created_by,JOSM,regular
26818465,created_by,JOSM,regular
26818466,created_by,JOSM,regular
26818467,created_by,JOSM,regular
26818468,created_by,JOSM,regular
26818470,created_by,JOSM,regular
26820996,created_by,JOSM,regular
26821481,created_by,Merkaartor 0.12,regular
86281487,highway,turning_circle,regular
86282181,highway,turning_circle,regular
86294289,highway,turning_circle,regular
86294990,highway,turning_circle,regular
86295111,highway,turning_circle,regular
86297615,highway,turning_circle,regular
86299308,highway,turning_circle,regular
86300885,highway,turning_circle,regular
87248658,highway,turning_circle,regular
87264860,barrier,gate,regular
87269521,highway,trailhead,regular
87269521,name,Meeks Bay Trailhead,regular
87297129,barrier,kissing_gate,regular
87312142,barrier,gate,regular
87313142,barrier,bollard,regular
87313142,bicycle,yes,regular
87313142,bollard,removable,regular
87313142,foot,yes,regular
87337127,highway,turning_circle,regular
87337445,power,tower,regular
87337451,power,tower,regular
87337457,power,tower,regular
87337463,power,tower,regular
87337469,power,tower,regular
87337474,power,tower,regular
87337475,power,tower,regular
87337479,power,tower,regular
87337480,power,tower,regular
87337484,power,tower,regular
87337489,power,tower,regular
87337491,power,tower,regular
87337492,power,tower,regular
87337495,power,tower,regular
87337497,power,tower,regular
87338204,power,tower,regular
87338204,source,bing,regular
87340799,highway,traffic_signals,regular
87342286,highway,turning_circle,regular
87344661,highway,turning_circle,regular
87349008,highway,traffic_signals,regular
87353867,barrier,gate,regular
87355095,highway,traffic_signals,regular
87355095,sound,yes,traffic_signals
87364689,highway,turning_circle,regular
87372030,mountain_pass,yes,regular
87372030,name,Echo Summit,regular
87372030,natural,saddle,regular
87372030,source,USGS topos,regular
87372151,highway,traffic_signals,regular
87372617,highway,turning_circle,regular
87372768,highway,turning_circle,regular
87374942,highway,traffic_signals,regular
87378701,highway,turning_circle,regular
87382504,highway,traffic_signals,regular
87387076,highway,turning_circle,regular
87388319,highway,traffic_signals,regular
87388319,sound,yes,traffic_signals
87399905,highway,turning_circle,regular
87401018,highway,turning_circle,regular
87401023,highway,turning_circle,regular
87406829,highway,turning_circle,regular
87406973,highway,turning_circle,regular
87407149,highway,turning_circle,regular
87408361,highway,traffic_signals,regular
87408374,highway,traffic_signals,regular
87409148,highway,traffic_signals,regular
87409171,highway,traffic_signals,regular
87409194,highway,traffic_signals,regular
87409194,sound,yes,traffic_signals
87409215,highway,traffic_signals,regular
87409215,sound,yes,traffic_signals
87409223,highway,traffic_signals,regular
87409223,sound,yes,traffic_signals
87409232,highway,traffic_signals,regular
87409232,sound,yes,traffic_signals
87409234,highway,traffic_signals,regular
87409234,sound,yes,traffic_signals
87409237,highway,traffic_signals,regular
87409237,sound,yes,traffic_signals
87409245,highway,traffic_signals,regular
87409245,sound,yes,traffic_signals
87409271,crossing,traffic_signals,regular
87409278,crossing,traffic_signals,regular
87409278,highway,traffic_signals,regular
87411265,highway,turning_circle,regular
87414473,ele,7735 ft,regular
87414473,mountain_pass,yes,regular
87414473,name,Luther Pass,regular
87414473,natural,saddle,regular
87414473,source,USGS topos,regular
87415803,highway,turning_circle,regular
87415812,highway,turning_circle,regular
87420109,highway,turning_circle,regular
87425256,highway,turning_circle,regular
87427518,ele,7377 ft,regular
87427518,mountain_pass,yes,regular
87427518,name,Johnson Pass,regular
87427518,natural,saddle,regular
87427518,source,USGS topos,regular
87431536,city,South Lake Tahoe,addr
87431536,housenumber,3860,addr
87431536,postcode,96150,addr
87431536,state,California,addr
87431536,street,Saddle Road,addr
87431536,aerialway,station,regular
87431536,name,The Gondola at Heavenly,regular
87434374,highway,turning_circle,regular
87434554,highway,turning_circle,regular
87437995,highway,turning_circle,regular
87438002,highway,turning_circle,regular
87440200,highway,turning_circle,regular
87441528,highway,turning_circle,regular
87443980,highway,turning_circle,regular
87445073,highway,turning_circle,regular
87448483,highway,turning_circle,regular
87451273,highway,turning_circle,regular
87453683,highway,turning_circle,regular
87455350,highway,turning_circle,regular
87458404,barrier,gate,regular
87458691,highway,turning_circle,regular
87459102,highway,turning_circle,regular
87468969,highway,turning_circle,regular
87477236,highway,turning_circle,regular
87481541,highway,turning_circle,regular
87485458,highway,turning_circle,regular
87489430,highway,turning_circle,regular
87492453,highway,turning_circle,regular
87492453,source,Bing,regular
89849118,power,tower,regular
89849121,power,tower,regular
89849123,power,tower,regular
89849124,power,tower,regular
89849128,power,tower,regular
89849132,power,tower,regular
89849134,power,tower,regular
89849136,power,tower,regular
89849138,power,tower,regular
89849142,power,tower,regular
89849144,power,tower,regular
89849147,power,tower,regular
89849149,power,tower,regular
89849151,power,tower,regular
89849152,power,tower,regular
89849153,power,tower,regular
89849154,power,tower,regular
89849155,power,tower,regular
89849156,power,tower,regular
89849157,power,tower,regular
89849158,power,tower,regular
89849159,power,tower,regular
89849165,power,tower,regular
89849166,power,tower,regular
89849167,power,tower,regular
89849168,power,tower,regular
89849170,power,tower,regular
89849172,power,tower,regular
89849177,power,tower,regular
89849179,power,tower,regular
89849181,power,tower,regular
89849184,power,tower,regular
89849186,power,tower,regular
89849188,power,tower,regular
89849190,power,tower,regular
89849191,power,tower,regular
89849192,power,tower,regular
89849194,power,tower,regular
89849195,power,tower,regular
89849197,power,tower,regular
89849198,power,tower,regular
89849200,power,tower,regular
89849201,power,tower,regular
89849202,power,tower,regular
89849205,power,tower,regular
89849206,power,tower,regular
89849208,power,tower,regular
89849211,power,tower,regular
89849212,power,tower,regular
89849214,power,tower,regular
89849276,power,tower,regular
89849278,power,tower,regular
89849280,power,tower,regular
89852491,power,tower,regular
89852493,power,pole,regular
89852497,power,pole,regular
89852499,power,pole,regular
89852501,power,pole,regular
89852503,power,pole,regular
89853256,exit_to,Farad,regular
89853256,highway,motorway_junction,regular
89853256,ref,201,regular
89853256,source,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/80.pdf,regular
89854734,power,tower,regular
89854735,power,tower,regular
89857036,power,tower,regular
89857037,power,tower,regular
89857039,power,tower,regular
89857041,power,tower,regular
89857045,power,tower,regular
89857047,power,tower,regular
89857048,power,tower,regular
89858305,power,tower,regular
89858309,power,tower,regular
89858310,power,tower,regular
89858311,power,tower,regular
89858316,power,pole,regular
89858318,power,pole,regular
89858319,power,pole,regular
89858321,power,pole,regular
89858322,power,pole,regular
89858324,power,pole,regular
89858327,power,pole,regular
89858328,power,pole,regular
89858581,power,tower,regular
89858584,power,tower,regular
89858586,power,tower,regular
89858587,power,tower,regular
89858589,power,tower,regular
89858590,power,tower,regular
89858594,power,tower,regular
89858595,power,tower,regular
89858596,power,tower,regular
89858597,power,tower,regular
89858599,power,tower,regular
89858606,power,tower,regular
89858608,power,tower,regular
89858610,power,tower,regular
89858612,power,tower,regular
89858615,power,tower,regular
89858617,power,tower,regular
89858618,power,tower,regular
89858620,power,tower,regular
89858627,power,tower,regular
89858656,power,tower,regular
89858658,power,tower,regular
89859483,power,pole,regular
89859484,power,pole,regular
89859486,power,pole,regular
89859488,power,pole,regular
89859490,power,pole,regular
89859492,power,pole,regular
89859494,power,pole,regular
89859496,power,pole,regular
89859504,power,pole,regular
89859507,power,pole,regular
89859508,power,pole,regular
89859510,power,pole,regular
89859512,power,pole,regular
89859514,power,pole,regular
89859518,power,pole,regular
89859520,power,pole,regular
89859521,power,pole,regular
89859522,power,pole,regular
89859523,power,tower,regular
89859525,power,tower,regular
89859527,power,tower,regular
89859530,power,tower,regular
89859532,power,tower,regular
89859533,power,tower,regular
89859537,power,tower,regular
89859539,power,tower,regular
89860727,power,tower,regular
89860729,power,tower,regular
89860731,power,tower,regular
89860732,power,tower,regular
89860734,power,tower,regular
89860736,power,tower,regular
89860738,power,tower,regular
89860741,power,tower,regular
89860742,power,tower,regular
89860744,power,tower,regular
89860747,power,tower,regular
89860748,power,tower,regular
89860749,power,tower,regular
89860750,power,tower,regular
89860752,power,tower,regular
89860756,power,tower,regular
89867017,power,tower,regular
89867019,power,tower,regular
89867020,power,tower,regular
89867022,power,tower,regular
89867025,power,tower,regular
89867027,power,tower,regular
89867029,power,tower,regular
89867031,power,tower,regular
89867033,power,tower,regular
89867035,power,tower,regular
89867036,power,tower,regular
89867038,power,tower,regular
89867041,power,tower,regular
89867043,power,tower,regular
89867045,power,tower,regular
89867047,power,tower,regular
89867048,power,tower,regular
89867050,power,tower,regular
89867052,power,tower,regular
89867054,power,tower,regular
89867056,power,tower,regular
89868922,power,pole,regular
89868923,power,pole,regular
89868927,power,pole,regular
89868931,power,pole,regular
89868933,power,pole,regular
89868936,power,pole,regular
89868937,power,pole,regular
89868958,power,pole,regular
89868960,power,pole,regular
89868961,power,pole,regular
89868963,power,pole,regular
89868965,power,tower,regular
89868967,power,tower,regular
89868970,power,tower,regular
89868977,power,tower,regular
89868979,power,tower,regular
89868981,power,tower,regular
89868983,power,tower,regular
89868985,power,tower,regular
89868987,power,tower,regular
89868990,power,tower,regular
89868992,power,tower,regular
89869354,railway,level_crossing,regular
89869904,power,tower,regular
89869906,power,tower,regular
89869908,power,tower,regular
89869911,power,tower,regular
89869913,power,tower,regular
89869915,power,tower,regular
89869917,power,tower,regular
89869920,power,tower,regular
89869922,power,tower,regular
89869924,power,tower,regular
89869926,power,tower,regular
89869929,power,tower,regular
89869931,power,tower,regular
89869934,power,tower,regular
89869935,power,pole,regular
89869937,power,pole,regular
89869939,power,pole,regular
89869941,power,pole,regular
89869945,power,pole,regular
89869947,power,pole,regular
89869949,power,pole,regular
89869951,power,pole,regular
89869953,power,pole,regular
89869955,power,pole,regular
89869957,power,pole,regular
89869959,power,pole,regular
89869962,power,pole,regular
89869965,power,pole,regular
89869967,power,pole,regular
89869968,power,pole,regular
89869969,power,pole,regular
89869973,power,pole,regular
89869975,power,pole,regular
89869976,power,pole,regular
89869978,power,pole,regular
89869980,power,pole,regular
89869982,power,pole,regular
89869984,power,pole,regular
89869986,power,pole,regular
89869988,power,pole,regular
89869991,power,pole,regular
89869992,power,pole,regular
89869994,power,pole,regular
89869996,power,pole,regular
89869998,power,pole,regular
89870000,power,pole,regular
89870002,power,pole,regular
89870004,power,pole,regular
89870010,power,pole,regular
89870012,power,pole,regular
89870014,power,pole,regular
89870016,power,pole,regular
89870018,power,pole,regular
89870020,power,pole,regular
89870022,power,pole,regular
89870024,power,pole,regular
89870026,power,pole,regular
89870029,power,pole,regular
89870031,power,pole,regular
89870033,power,pole,regular
